trade_date,close,MA5,MA10,MA20,MA60,MA120,RSI,DIF,DEA,MACD,BB_MID,BB_UPPER,BB_LOWER,BB_WIDTH
2026-02-24,1071.5500,1096.9060,1086.2650,1194.2060,1304.3623,1331.6863,32.9341,-73.5348,-67.2938,-12.4820,1194.2060,1426.8399,961.5721,38.9604
2026-02-25,1082.6500,1093.2560,1081.7300,1181.1865,1301.5898,1332.0751,34.7506,-71.8923,-68.2135,-7.3576,1181.1865,1407.8167,954.5563,38.3733
2026-02-26,1168.8000,1111.2360,1091.8100,1171.9330,1300.0368,1331.4551,46.7957,-62.9138,-67.1536,8.4796,1171.9330,1383.4873,960.3787,36.1035
2026-02-27,1178.0000,1124.3360,1103.7770,1163.1830,1298.6702,1329.7307,47.9017,-54.4285,-64.6085,20.3602,1163.1830,1356.9314,969.4346,33.3135
2026-03-02,1191.9000,1138.5800,1119.2680,1156.0285,1296.6242,1328.5882,49.6063,-46.0513,-60.8971,29.6916,1156.0285,1332.8965,979.1605,30.5992
2026-03-03,1133.0500,1150.8800,1123.8930,1147.6810,1293.5523,1326.5961,43.1667,-43.6578,-57.4492,27.5828,1147.6810,1311.1934,984.1686,28.4944
2026-03-04,1117.0800,1157.7660,1125.5110,1138.4905,1289.9870,1322.6725,41.5890,-42.5590,-54.4712,23.8244,1138.4905,1285.5827,991.3983,25.8399
2026-03-05,1168.0000,1157.6060,1134.4210,1132.7515,1286.7463,1319.9684,48.1024,-37.1511,-51.0072,27.7121,1132.7515,1264.2723,1001.2307,23.2215
2026-03-06,1154.8800,1152.9820,1138.6590,1127.8950,1283.8488,1317.5225,46.6587,-33.5374,-47.5132,27.9517,1127.8950,1247.5080,1008.2820,21.2100
2026-03-09,1125.9900,1139.8000,1139.1900,1121.2500,1280.4103,1314.5724,43.5585,-32.6286,-44.5363,23.8155,1121.2500,1223.7661,1018.7339,18.2860
2026-03-10,1147.1000,1142.6100,1146.7450,1116.5050,1276.7120,1312.4233,46.3629,-29.8607,-41.6012,23.4810,1116.5050,1203.0257,1029.9843,15.4985
2026-03-11,1099.0000,1138.9940,1148.3800,1115.0550,1272.4453,1311.5649,41.3246,-31.1889,-39.5187,16.6597,1115.0550,1201.7365,1028.3735,15.5475
2026-03-12,1099.0000,1125.1940,1141.4000,1116.6050,1267.1320,1310.0444,41.3246,-31.8740,-37.9898,12.2315,1116.6050,1200.8171,1032.3929,15.0836
